"id","name","brewery_type","street","city","state","postal_code","website_url","phone","created_at","updated_at","country","longitude","latitude"
2,"Avondale Brewing Co","micro","201 41st St S","Birmingham","Alabama","35222-1932","http://www.avondalebrewing.com","2057775456","2018-07-24 01:32:47.255559","2018-08-23 23:19:57.82527","United States",-86.774322,33.524521
4,"Band of Brothers Brewing Company","micro","1605 23rd Ave","Tuscaloosa","Alabama","35401-4653","http://www.bandofbrosbrewing.com","2052665137","2018-07-24 01:32:47.279898","2018-08-23 23:19:59.46244","United States",-87.5621551272424,33.1984907123707
44,"Trim Tab Brewing","micro","2721 5th Ave S","Birmingham","Alabama","35233-3401","http://www.trimtabbrewing.com","2057030536","2018-07-24 01:32:47.815458","2018-08-23 23:20:31.42326","United States",-86.7914000624146,33.5128492349817
46,"Yellowhammer Brewery","micro","2600 Clinton Ave W","Huntsville","Alabama","35805-3046","http://www.yellowhammerbrewery.com","2569755950","2018-07-24 01:32:47.838678","2018-08-23 23:20:33.102472","United States",-86.5932014,34.7277523
55,"Bearpaw River Brewing Co","micro","4605 E Palmer Wasilla Hwy","Wasilla","Alaska","99654-7679","http://bearpawriverbrewing.com","","2018-07-24 01:32:47.967298","2018-08-23 23:20:40.743241","United States",-149.4127103,61.5752695
76,"King Street Brewing Co","micro","9050 King Street","Anchorage","Alaska","99515","http://www.kingstreetbrewing.com","9073365464","2018-07-24 01:32:48.301213","2018-08-23 23:20:57.179365","United States",-149.879076042937,61.1384893547315
94,"1912 Brewing","micro","2045 N Forbes Blvd Ste 105","Tucson","Arizona","85745-1444","http://www.1912brewing.com","5202564851","2018-07-24 01:32:48.582575","2018-08-23 23:21:11.302344","United States",-110.992750525872,32.2467372722906
98,"Bad Water Brewing","contract","4216 N Brown Ave","Scottsdale","Arizona","85251-3914","http://www.badwaterbrewing.com","5207459175","2018-07-24 01:32:48.636841","2018-08-23 23:21:15.169928","United States",-111.924474347826,33.4972615652174
104,"BJs Restaurant & Brewery - Chandler","brewpub","3155 W Chandler Blvd","Chandler","Arizona","85226-5175","http://www.bjsrestaurants.com","4809170631","2018-07-24 01:32:48.716584","2018-08-23 23:21:21.165735","United States",-111.911126,33.3053455
107,"BlackRock Brewers","micro","1664 S Research Loop Ste 200","Tucson","Arizona","85710-6767","http://www.brb.beer","5202073203","2018-07-24 01:32:48.758599","2018-08-23 23:21:23.79407","United States",-110.821778571134,32.201608314954
127,"Dragoon Brewing Co","micro","1859 W Grant Rd Ste 111","Tucson","Arizona","85745-1214","http://www.dragoonbrewing.com","5203293606","2018-07-24 01:32:49.040906","2018-08-23 23:21:40.563803","United States",-111.005452051979,32.2504946147872
